cuisine,diet,name,cooking time,ingredients,allergens,recipe
Caribbean,Vegetarian,Quick Cauliflower Risotto ,42 min,"Cauliflower, Black pepper, Flour, Paprika, Yogurt, Vinegar, Tomato","Milk, Gluten","Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Peruvian,Vegan,Crispy Quinoa Pizza ,1 hr 40 min,"Quinoa, Paprika, Black pepper",,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pizza."
Lebanese,Vegetarian,Quick Paneer Salad ,1 hr 13 min,"Paneer, Cheese, Black pepper, Soy sauce, Paprika","Milk, Soy","Step 1: Chop the vegetables and prepare the Paneer. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Paneer and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Peruvian,Vegan,Spicy Potato Frittata ,52 min,"Potato, Cumin, Coriander, Olive oil, Onion",,"Step 1: Chop the vegetables and prepare the Potato. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Peruvian,Vegan,Creamy Quinoa Salad ,26 min,"Quinoa, Nuts, Coriander, Chili, Flour, Onion","Nuts, Gluten","Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Korean,Non-Vegetarian,Hearty Fish Sandwich ,1 hr 40 min,"Fish, Lemon, Sugar, Chili, Flour, Herbs, Tomato","Gluten, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
French,Vegan,Simple Broccoli Skewers ,2 hr,"Broccoli, Ginger, Herbs",,"Step 1: Chop the vegetables and prepare the Broccoli. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Broccoli and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Italian,Non-Vegetarian,Crispy Tuna Pizza ,1 hr 32 min,"Tuna, Ginger, Yogurt, Butter, Paprika, Black pepper, Chili, Onion","Milk, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and boil the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pizza."
Moroccan,Vegan,Lemony Black beans Casserole ,1 hr 12 min,"Black beans, Herbs, Flour, Soy sauce","Soy, Gluten","Step 1: Chop the vegetables and prepare the Black beans. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Black beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Japanese,Vegetarian,Spicy Quinoa Pasta ,1 hr 51 min,"Quinoa, Onion, Soy sauce, Ginger, Coriander, Yogurt, Garlic, Olive oil","Milk, Soy","Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Mediterranean,Vegan,Quick Mushroom Pasta ,1 hr 6 min,"Mushroom, Tomato, Herbs, Onion",,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Greek,Vegan,Herbed Eggplant Sandwich ,42 min,"Eggplant, Tomato, Olive oil, Salt, Garlic, Chili",Eggs,"Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Ethiopian,Vegetarian,Herbed Sweet potato Sandwich ,25 min,"Sweet potato, Paprika, Salt, Soy sauce, Cumin",Soy,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a sandwich."
Japanese,Vegan,Garlic Chickpeas Frittata ,1 hr 48 min,"Chickpeas, Coriander, Tomato",,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
American,Vegetarian,Quick Chickpeas Kebab ,11 min,"Chickpeas, Milk, Honey, Herbs, Vinegar","Milk, Honey","Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and blanch onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Brazilian,Vegan,Zesty Quinoa Pasta ,1 hr 42 min,"Quinoa, Soy sauce, Sugar",Soy,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pasta."
Greek,Vegan,Crispy Eggplant Curry ,37 min,"Eggplant, Cumin, Vinegar, Onion, Soy sauce","Soy, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Lebanese,Non-Vegetarian,Honey Lamb Sandwich ,1 hr 35 min,"Lamb, Yogurt, Onion, Flour, Honey, Black pepper, Soy sauce, Olive oil","Milk, Soy, Gluten, Honey","Step 1: Marinate the Lamb with salt, pepper, and spices. Step 2: Heat oil in a pan and pan-fry the Lamb until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a sandwich."
Turkish,Vegetarian,Spicy Zucchini Wrap ,31 min,"Zucchini, Butter, Herbs, Yogurt, Onion",Milk,"Step 1: Chop the vegetables and prepare the Zucchini. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Zucchini and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Peruvian,Vegetarian,Light Chickpeas Pilaf ,1 hr 35 min,"Chickpeas, Black pepper, Butter, Yogurt",Milk,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a pilaf."
Mediterranean,Vegan,Zesty Mushroom Rice Bowl ,1 hr 6 min,"Mushroom, Ginger, Chili, Herbs, Black pepper",,"Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
Korean,Vegetarian,Garlic Spinach Skewers ,1 hr 54 min,"Spinach, Cumin, Tomato, Onion, Soy sauce",Soy,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a skewers."
Italian,Vegan,Creamy Sweet potato Burger ,1 hr 38 min,"Sweet potato, Vinegar, Paprika, Nuts, Tomato",Nuts,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a burger."
Japanese,Non-Vegetarian,Quick Mutton Frittata ,1 hr 10 min,"Mutton, Yogurt, Coriander, Paprika, Butter, Salt, Soy sauce","Milk, Soy","Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and saute the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Chinese,Non-Vegetarian,Coconut Turkey Curry ,1 hr 46 min,"Turkey, Tomato, Yogurt, Paprika, Flour, Sugar, Chili, Lemon","Milk, Gluten","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a curry."
Chinese,Vegan,Quick Spinach Kebab ,1 hr 48 min,"Spinach, Nuts, Sugar, Paprika, Tomato",Nuts,"Step 1: Chop the vegetables and prepare the Spinach. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Spinach and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a kebab."
Italian,Vegan,Garlic Lentils Wrap ,30 min,"Lentils, Paprika, Coriander, Chili, Nuts, Soy sauce, Flour","Soy, Nuts, Gluten","Step 1: Chop the vegetables and prepare the Lentils. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Lentils and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Japanese,Non-Vegetarian,Quick Tuna Frittata ,1 hr 55 min,"Tuna, Flour, Cheese, Tomato, Salt, Garlic","Milk, Gluten, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and grill the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a frittata."
Caribbean,Vegetarian,Herbed Tomato Rice Bowl ,13 min,"Tomato, Milk, Cumin, Soy sauce, Lemon","Milk, Soy","Step 1: Chop the vegetables and prepare the Tomato. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Tomato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a rice bowl."
French,Vegan,Peanut Quinoa Fritters ,1 hr 1 min,"Quinoa, Chili, Cumin, Salt, Lemon",,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and braise onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a fritters."
Caribbean,Vegan,Minty Quinoa Frittata ,1 hr 5 min,"Quinoa, Paprika, Sugar, Chili, Salt, Tomato",,"Step 1: Chop the vegetables and prepare the Quinoa. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Quinoa and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Korean,Vegetarian,Minty Sweet potato Stir-fry ,10 min,"Sweet potato, Coriander, Flour, Black pepper, Sugar, Paprika",Gluten,"Step 1: Chop the vegetables and prepare the Sweet potato. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Sweet potato and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a stir-fry."
Lebanese,Non-Vegetarian,Coconut Turkey Pasta ,1 hr 23 min,"Turkey, Honey, Olive oil, Milk, Salt, Black pepper","Milk, Honey","Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a pasta."
Indian,Non-Vegetarian,Garlic Fish Tacos ,1 hr 19 min,"Fish, Sugar, Flour, Yogurt, Soy sauce, Cumin","Milk, Soy, Gluten, Seafood","Step 1: Marinate the Fish with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Fish until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a tacos."
Ethiopian,Vegan,Warm Eggplant Salad ,1 hr 52 min,"Eggplant, Lemon, Olive oil, Chili, Nuts","Nuts, Eggs","Step 1: Chop the vegetables and prepare the Eggplant. Step 2: Heat oil in a pan and grill onion, garlic, and spices. Step 3: Add Eggplant and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Moroccan,Vegan,Hearty Cauliflower Frittata ,1 hr 53 min,"Cauliflower, Sugar, Soy sauce, Paprika, Salt, Vinegar, Lemon",Soy,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and pan-fry onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a frittata."
Thai,Vegan,Tangy Pumpkin Curry ,21 min,"Pumpkin, Olive oil, Chili, Onion, Salt, Flour, Cumin",Gluten,"Step 1: Chop the vegetables and prepare the Pumpkin. Step 2: Heat oil in a pan and roast onion, garlic, and spices. Step 3: Add Pumpkin and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a curry."
Chinese,Vegetarian,Savory Kidney beans Casserole ,33 min,"Kidney beans, Butter, Black pepper, Tomato, Nuts","Milk, Nuts","Step 1: Chop the vegetables and prepare the Kidney beans. Step 2: Heat oil in a pan and bake onion, garlic, and spices. Step 3: Add Kidney beans and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a casserole."
Brazilian,Vegetarian,Hearty Bell pepper Tacos ,1 hr 37 min,"Bell pepper, Cheese, Flour, Milk","Milk, Gluten","Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and steam onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Ethiopian,Vegan,Peanut Chickpeas Salad ,48 min,"Chickpeas, Herbs, Olive oil, Paprika, Salt",,"Step 1: Chop the vegetables and prepare the Chickpeas. Step 2: Heat oil in a pan and stir-fry onion, garlic, and spices. Step 3: Add Chickpeas and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a salad."
Indian,Vegan,Zesty Bell pepper Wrap ,1 hr 57 min,"Bell pepper, Herbs, Lemon, Sugar",,"Step 1: Chop the vegetables and prepare the Bell pepper. Step 2: Heat oil in a pan and simmer onion, garlic, and spices. Step 3: Add Bell pepper and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a wrap."
Lebanese,Non-Vegetarian,Herbed Turkey Kebab ,1 hr 15 min,"Turkey, Cumin, Ginger, Black pepper, Cheese, Vinegar",Milk,"Step 1: Marinate the Turkey with salt, pepper, and spices. Step 2: Heat oil in a pan and steam the Turkey until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
Peruvian,Non-Vegetarian,Tangy Mutton Salad ,54 min,"Mutton, Paprika, Olive oil, Coriander, Cheese, Ginger, Salt",Milk,"Step 1: Marinate the Mutton with salt, pepper, and spices. Step 2: Heat oil in a pan and simmer the Mutton until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a salad."
Indian,Non-Vegetarian,Coconut Salmon Casserole ,22 min,"Salmon, Butter, Coriander, Olive oil","Milk, Seafood","Step 1: Marinate the Salmon with salt, pepper, and spices. Step 2: Heat oil in a pan and bake the Salmon until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a casserole."
American,Vegetarian,Smoky Mushroom Risotto ,1 hr 44 min,"Mushroom, Butter, Nuts, Tomato, Soy sauce, Herbs","Milk, Soy, Nuts","Step 1: Chop the vegetables and prepare the Mushroom. Step 2: Heat oil in a pan and boil onion, garlic, and spices. Step 3: Add Mushroom and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a risotto."
Moroccan,Non-Vegetarian,Coconut Shrimp Kebab ,53 min,"Shrimp, Olive oil, Paprika, Honey","Seafood, Honey","Step 1: Marinate the Shrimp with salt, pepper, and spices. Step 2: Heat oil in a pan and braise the Shrimp until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a kebab."
Japanese,Vegan,Spicy Cauliflower Tacos ,22 min,"Cauliflower, Coriander, Cumin",,"Step 1: Chop the vegetables and prepare the Cauliflower. Step 2: Heat oil in a pan and saute onion, garlic, and spices. Step 3: Add Cauliflower and cook until tender. Step 4: Mix in remaining ingredients and let it simmer. Step 5: Serve hot as a tacos."
Moroccan,Non-Vegetarian,Peanut Tuna Casserole ,1 hr 4 min,"Tuna, Nuts, Soy sauce, Vinegar","Soy, Nuts, Seafood","Step 1: Marinate the Tuna with salt, pepper, and spices. Step 2: Heat oil in a pan and stir-fry the Tuna until cooked. Step 3: Add onion, garlic, and vegetables and cook briefly. Step 4: Combine everything and adjust seasoning. Step 5: Serve hot as a casserole."
